# q=2.000000e+00 chizA=0.000000e+00 chizB=0.000000e+00 f0=9.970000e+00
# M=6.000000e+01 LambdaA=[0.000000e+00,0.000000e+00,0.000000e+00] LambdaBl2=[0.000000e+00,0.000000e+00,0.000000e+00]
# D=1.000000e+00 phi=2.098301e-01 iota=0.000000e+00
# t:0 real:1 imag:2 Ampli:3 Phase:4
4.833984375e-02 -7.878943099943e-20 3.689810262818e-20 0.000000000000e+00 0.000000000000e+00
4.858398438e-02 -7.932790372296e-20 3.598351532179e-20 0.000000000000e+00 0.000000000000e+00
4.882812500e-02 -7.985694807661e-20 3.506023152151e-20 0.000000000000e+00 0.000000000000e+00
4.907226562e-02 -8.037642582223e-20 3.412831904626e-20 0.000000000000e+00 0.000000000000e+00
4.931640625e-02 -8.088619848327e-20 3.318784766537e-20 0.000000000000e+00 0.000000000000e+00
4.956054688e-02 -8.138612736489e-20 3.223888912145e-20 0.000000000000e+00 0.000000000000e+00
4.980468750e-02 -8.187607357455e-20 3.128151715326e-20 0.000000000000e+00 0.000000000000e+00
5.004882812e-02 -8.235589804286e-20 3.031580751656e-20 0.000000000000e+00 0.000000000000e+00
5.029296875e-02 -8.282546153299e-20 2.934183794205e-20 0.000000000000e+00 0.000000000000e+00
5.053710938e-02 -8.328462465594e-20 2.835968814301e-20 0.000000000000e+00 0.000000000000e+00
5.078125000e-02 -8.373324790490e-20 2.736943991579e-20 0.000000000000e+00 0.000000000000e+00
5.102539062e-02 -8.417119167965e-20 2.637117716779e-20 0.000000000000e+00 0.000000000000e+00
5.126953125e-02 -8.459831631062e-20 2.536498594029e-20 0.000000000000e+00 0.000000000000e+00
5.151367188e-02 -8.501448208361e-20 2.435095443120e-20 0.000000000000e+00 0.000000000000e+00
5.175781250e-02 -8.541954925801e-20 2.332917299971e-20 0.000000000000e+00 0.000000000000e+00
5.200195312e-02 -8.581337805731e-20 2.229973410508e-20 0.000000000000e+00 0.000000000000e+00
5.224609375e-02 -8.619582871736e-20 2.126273239722e-20 0.000000000000e+00 0.000000000000e+00
5.249023438e-02 -8.656676152690e-20 2.021826477563e-20 0.000000000000e+00 0.000000000000e+00
5.273437500e-02 -8.692603685555e-20 1.916643041197e-20 0.000000000000e+00 0.000000000000e+00
5.297851562e-02 -8.727351518231e-20 1.810733077248e-20 0.000000000000e+00 0.000000000000e+00
5.322265625e-02 -8.760905712407e-20 1.704106963913e-20 0.000000000000e+00 0.000000000000e+00
5.346679688e-02 -8.793252342729e-20 1.596775307467e-20 0.000000000000e+00 0.000000000000e+00
5.371093750e-02 -8.824377497578e-20 1.488748941871e-20 0.000000000000e+00 0.000000000000e+00
5.395507812e-02 -8.854267287169e-20 1.380038939101e-20 0.000000000000e+00 0.000000000000e+00
5.419921875e-02 -8.882907847207e-20 1.270656612050e-20 0.000000000000e+00 0.000000000000e+00
5.444335938e-02 -8.910285342154e-20 1.160613516688e-20 0.000000000000e+00 0.000000000000e+00
5.468750000e-02 -8.936385968574e-20 1.049921454204e-20 0.000000000000e+00 0.000000000000e+00
5.493164063e-02 -8.961195957399e-20 9.385924719656e-21 0.000000000000e+00 0.000000000000e+00
5.517578125e-02 -8.984701570306e-20 8.266388587226e-21 0.000000000000e+00 0.000000000000e+00
5.541992188e-02 -9.006889107495e-20 7.140731517096e-21 0.000000000000e+00 0.000000000000e+00
5.566406250e-02 -9.027744914712e-20 6.009081423098e-21 0.000000000000e+00 0.000000000000e+00
5.590820312e-02 -9.047255386978e-20 4.871568781048e-21 0.000000000000e+00 0.000000000000e+00
5.615234375e-02 -9.065406972359e-20 3.728326648671e-21 0.000000000000e+00 0.000000000000e+00
5.639648438e-02 -9.082186171687e-20 2.579490656863e-21 0.000000000000e+00 0.000000000000e+00
5.664062500e-02 -9.097579537316e-20 1.425198998065e-21 0.000000000000e+00 0.000000000000e+00
5.688476563e-02 -9.111573684806e-20 2.655925034153e-22 0.000000000000e+00 0.000000000000e+00
5.712890625e-02 -9.124155298220e-20 -8.991853297628e-22 0.000000000000e+00 0.000000000000e+00
5.737304688e-02 -9.135311134308e-20 -2.068988319448e-21 0.000000000000e+00 0.000000000000e+00
5.761718750e-02 -9.145028026141e-20 -3.243667583811e-21 0.000000000000e+00 0.000000000000e+00
5.786132812e-02 -9.153292878507e-20 -4.423071564155e-21 0.000000000000e+00 0.000000000000e+00
5.810546875e-02 -9.160092674238e-20 -5.607045992087e-21 0.000000000000e+00 0.000000000000e+00
5.834960938e-02 -9.165414485789e-20 -6.795433836788e-21 0.000000000000e+00 0.000000000000e+00
5.859375000e-02 -9.169245480025e-20 -7.988075287585e-21 0.000000000000e+00 0.000000000000e+00
5.883789063e-02 -9.171572922903e-20 -9.184807737938e-21 0.000000000000e+00 0.000000000000e+00
5.908203125e-02 -9.172384180824e-20 -1.038546577904e-20 0.000000000000e+00 0.000000000000e+00
5.932617188e-02 -9.171666714805e-20 -1.158988120969e-20 0.000000000000e+00 0.000000000000e+00
5.957031250e-02 -9.169408095631e-20 -1.279788298792e-20 0.000000000000e+00 0.000000000000e+00
5.981445312e-02 -9.165596012444e-20 -1.400929720658e-20 0.000000000000e+00 0.000000000000e+00
6.005859375e-02 -9.160218277856e-20 -1.522394707993e-20 0.000000000000e+00 0.000000000000e+00
6.030273438e-02 -9.153262832932e-20 -1.644165293110e-20 0.000000000000e+00 0.000000000000e+00
6.054687500e-02 -9.144717743852e-20 -1.766223218801e-20 0.000000000000e+00 0.000000000000e+00
6.079101562e-02 -9.134571204052e-20 -1.888549936890e-20 0.000000000000e+00 0.000000000000e+00
6.103515625e-02 -9.122811550747e-20 -2.011126605621e-20 0.000000000000e+00 0.000000000000e+00
6.127929688e-02 -9.109427271331e-20 -2.133934088534e-20 0.000000000000e+00 0.000000000000e+00
6.152343750e-02 -9.094407008487e-20 -2.256952953503e-20 0.000000000000e+00 0.000000000000e+00
6.176757812e-02 -9.077739555734e-20 -2.380163471268e-20 0.000000000000e+00 0.000000000000e+00
6.201171875e-02 -9.059413863870e-20 -2.503545614004e-20 0.000000000000e+00 0.000000000000e+00
6.225585938e-02 -9.039419056569e-20 -2.627079054742e-20 0.000000000000e+00 0.000000000000e+00
6.250000000e-02 -9.017744436761e-20 -2.750743166754e-20 0.000000000000e+00 0.000000000000e+00
6.274414062e-02 -8.994379491538e-20 -2.874517022797e-20 0.000000000000e+00 0.000000000000e+00
6.298828125e-02 -8.969313885798e-20 -2.998379392136e-20 0.000000000000e+00 0.000000000000e+00
6.323242188e-02 -8.942537473388e-20 -3.122308740269e-20 0.000000000000e+00 0.000000000000e+00
6.347656250e-02 -8.914040312282e-20 -3.246283230023e-20 0.000000000000e+00 0.000000000000e+00
6.372070312e-02 -8.883812671167e-20 -3.370280721406e-20 0.000000000000e+00 0.000000000000e+00
6.396484375e-02 -8.851845033794e-20 -3.494278770829e-20 0.000000000000e+00 0.000000000000e+00
6.420898438e-02 -8.818128092023e-20 -3.618254626311e-20 0.000000000000e+00 0.000000000000e+00
6.445312500e-02 -8.782652761514e-20 -3.742185229681e-20 0.000000000000e+00 0.000000000000e+00
6.469726562e-02 -8.745410195582e-20 -3.866047218949e-20 0.000000000000e+00 0.000000000000e+00
6.494140625e-02 -8.706391792083e-20 -3.989816928670e-20 0.000000000000e+00 0.000000000000e+00
6.518554688e-02 -8.665589196665e-20 -4.113470388625e-20 0.000000000000e+00 0.000000000000e+00
6.542968750e-02 -8.622994296067e-20 -4.236983317176e-20 0.000000000000e+00 0.000000000000e+00
6.567382812e-02 -8.578599237982e-20 -4.360331127156e-20 0.000000000000e+00 0.000000000000e+00
